"","ImageNumber","Count_Nuclei","FileName_Dna","FileName_Overlay","ImageQuality_PowerLogLogSlope_Dna","Mean_Nuclei_AreaShape_Area","Mean_Nuclei_Intensity_IntegratedIntensity_Dna","Mean_Nuclei_Intensity_MaxIntensity_Dna","Mean_Nuclei_Intensity_MeanIntensity_Dna","Metadata_gene","Metadata_plate","Metadata_posNum","Metadata_siRNA","Metadata_timeNum","Metadata_wellNum","PathName_Dna","PathName_Overlay","Metadata_gene_siRNA","Metadata_batch_treatment"
"82",82,211,"EMBO_2012_Group3--empty--empty--W0032--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0032--P001--T00090--Z000--C01.ome.png.jpg",-1.282067135,598.450237,8.894614395,0.023959119,0.014575679,"empty","EMBO_2012_Group3",1,"empty",90,32,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00032--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
"83",83,127,"EMBO_2012_Group3--empty--empty--W0031--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0031--P001--T00090--Z000--C01.ome.png.jpg",-1.227096742,549.1811024,6.968337113,0.019578885,0.012254492,"empty","EMBO_2012_Group3",1,"empty",90,31,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00031--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
"84",84,115,"EMBO_2012_Group3--s3371--COPB1--W0029--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--s3371--COPB1--W0029--P001--T00090--Z000--C01.ome.png.jpg",-1.226106828,551.8956522,8.413072801,0.027053841,0.015236548,"COPB1","EMBO_2012_Group3",1,"s3371",90,29,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00029--s3371--COPB1/P00001--s3371--COPB1","/g/EMBO_HTM_2012--cp/images","COPB1_s3371","EMBO_2012_Group3__COPB1"
"85",85,180,"EMBO_2012_Group2--empty--empty--W0062--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0062--P001--T00090--Z000--C01.ome.png.jpg",-1.689313252,593.7388889,4.805530785,0.010683348,0.007734833,"empty","EMBO_2012_Group2",1,"empty",90,62,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00062--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"86",86,258,"EMBO_2012_Group2--empty--empty--W0061--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0061--P001--T00090--Z000--C01.ome.png.jpg",-1.634693604,613.2868217,5.229227899,0.011913106,0.008303539,"empty","EMBO_2012_Group2",1,"empty",90,61,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00061--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"87",87,266,"EMBO_2012_Group2--empty--empty--W0064--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--empty--empty--W0064--P001--T00090--Z000--C01.ome.png.jpg",-1.32051563,652.8947368,5.979372344,0.013777759,0.008832834,"empty","EMBO_2012_Group2",1,"empty",90,64,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00064--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group2__empty"
"88",88,350,"EMBO_2012_Group2--s21911--CIT--W0063--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group2--s21911--CIT--W0063--P001--T00090--Z000--C01.ome.png.jpg",-1.428219573,598.4742857,5.554710725,0.012512842,0.008994291,"CIT","EMBO_2012_Group2",1,"s21911",90,63,"/g/EMBO_HTM_2012/EMBO_2012_Group2/W00063--s21911--CIT/P00001--s21911--CIT","/g/EMBO_HTM_2012--cp/images","CIT_s21911","EMBO_2012_Group2__CIT"
"89",89,82,"EMBO_2012_Group3--empty--empty--W0006--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--empty--empty--W0006--P001--T00090--Z000--C01.ome.png.jpg",-1.218507585,550.5487805,10.27250703,0.031774123,0.018545312,"empty","EMBO_2012_Group3",1,"empty",90,6,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00006--empty--empty/P00001--empty--empty","/g/EMBO_HTM_2012--cp/images","empty_empty","EMBO_2012_Group3__empty"
"90",90,93,"EMBO_2012_Group3--s449--PLK1--W0008--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--s449--PLK1--W0008--P001--T00090--Z000--C01.ome.png.jpg",-1.019594505,440.5268817,9.807000335,0.048463309,0.022616552,"PLK1","EMBO_2012_Group3",1,"s449",90,8,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00008--s449--PLK1/P00001--s449--PLK1","/g/EMBO_HTM_2012--cp/images","PLK1_s449","EMBO_2012_Group3__PLK1"
"91",91,117,"EMBO_2012_Group3--s4445--ECT2--W0005--P001--T00090--Z000--C01.ome.tif.jpg","EMBO_2012_Group3--s4445--ECT2--W0005--P001--T00090--Z000--C01.ome.png.jpg",-1.30790388,719.4444444,12.94288583,0.033383875,0.018297129,"ECT2","EMBO_2012_Group3",1,"s4445",90,5,"/g/EMBO_HTM_2012/EMBO_2012_Group3/W00005--s4445--ECT2/P00001--s4445--ECT2","/g/EMBO_HTM_2012--cp/images","ECT2_s4445","EMBO_2012_Group3__ECT2"
